,timestamp,sensor_id,value,unit,is_valid
0,2026-07-18 08:00:00,PRS,51.0,kPa,True
2,2026-07-18 08:10:00,PRS,100.67,kPa,True
4,2026-07-18 08:20:00,HUM,59.28,%,False
7,2026-07-18 08:35:00,HUM,65.61,%,True
8,2026-07-18 08:40:00,HUM,51.38,%,True
9,2026-07-18 08:45:00,PRS,99.99,kPa,True
10,2026-07-18 08:50:00,PRS,101.1,kPa,True
12,2026-07-18 09:00:00,PRS,51.0,kPa,True
13,2026-07-18 09:05:00,PRS,100.36,kPa,True
16,2026-07-18 09:20:00,PRS,100.14,51,True
17,2026-07-18 09:25:00,PRS,100.42,kPa,True
18,2026-07-18 09:30:00,PRS,99.52,kPa,True
20,2026-07-18 09:40:00,PRS,102.46,kPa,True
21,2026-07-18 09:45:00,PRS,102.83,kPa,True
24,2026-07-18 10:00:00,HUM,72.96,%,True
25,2026-07-18 10:05:00,PRS,102.6,kPa,True
26,2026-07-18 10:10:00,PRS,100.59,kPa,True
30,2026-07-18 10:30:00,PRS,102.82,kPa,True
31,2026-07-18 10:35:00,PRS,102.97,kPa,True
34,2026-07-18 10:50:00,HUM,75.71,%,True
38,2026-07-18 11:10:00,HUM,54.64,%,True
39,2026-07-18 11:15:00,PRS,100.04,kPa,True
40,2026-07-18 11:20:00,HUM,79.4,%,True
42,2026-07-18 11:30:00,HUM,72.02,%,True
48,2026-07-18 12:00:00,PRS,51.0,kPa,True
49,2026-07-18 12:05:00,HUM,62.48,%,True
53,2026-07-18 12:25:00,HUM,51.03,%,True
54,2026-07-18 12:30:00,HUM,55.53,%,True
56,2026-07-18 12:40:00,PRS,101.73,kPa,True
57,2026-07-18 12:45:00,HUM,51.0,%,True
58,2026-07-18 12:50:00,PRS,101.25,kPa,True
59,2026-07-18 12:55:00,HUM,78.67,%,True
